episode_id,date,start,end,n_obs,length_hours
476,2025-08-20,2025-08-20 06:10:00+02:00,2025-08-20 18:00:00+02:00,143,11.916666666666666
477,2025-08-20,2025-08-20 20:10:00+02:00,2025-08-20 22:05:00+02:00,24,2.0
478,2025-08-21,2025-08-21 00:00:00+02:00,2025-08-21 02:40:00+02:00,33,2.75
479,2025-08-21,2025-08-21 04:55:00+02:00,2025-08-21 18:00:00+02:00,158,13.166666666666666
480,2025-08-21,2025-08-21 18:10:00+02:00,2025-08-21 23:55:00+02:00,70,5.833333333333333
481,2025-08-22,2025-08-22 00:00:00+02:00,2025-08-22 02:50:00+02:00,35,2.9166666666666665
482,2025-08-22,2025-08-22 04:55:00+02:00,2025-08-22 18:00:00+02:00,158,13.166666666666666
483,2025-08-22,2025-08-22 18:10:00+02:00,2025-08-22 21:55:00+02:00,46,3.8333333333333335
484,2025-08-23,2025-08-23 00:00:00+02:00,2025-08-23 03:20:00+02:00,41,3.4166666666666665
485,2025-08-23,2025-08-23 04:55:00+02:00,2025-08-23 13:55:00+02:00,109,9.083333333333334
486,2025-08-23,2025-08-23 15:05:00+02:00,2025-08-23 23:00:00+02:00,96,8.0
487,2025-08-24,2025-08-24 01:15:00+02:00,2025-08-24 03:15:00+02:00,25,2.0833333333333335
488,2025-08-24,2025-08-24 04:50:00+02:00,2025-08-24 23:55:00+02:00,230,19.166666666666668
489,2025-08-25,2025-08-25 00:00:00+02:00,2025-08-25 02:50:00+02:00,35,2.9166666666666665
490,2025-08-25,2025-08-25 10:15:00+02:00,2025-08-25 23:00:00+02:00,154,12.833333333333334
491,2025-08-26,2025-08-26 06:10:00+02:00,2025-08-26 09:55:00+02:00,46,3.8333333333333335
492,2025-08-26,2025-08-26 10:05:00+02:00,2025-08-26 20:55:00+02:00,131,10.916666666666666
493,2025-08-27,2025-08-27 05:10:00+02:00,2025-08-27 23:55:00+02:00,226,18.833333333333332
494,2025-08-28,2025-08-28 00:00:00+02:00,2025-08-28 02:50:00+02:00,35,2.9166666666666665
495,2025-08-28,2025-08-28 04:55:00+02:00,2025-08-28 23:55:00+02:00,229,19.083333333333332
496,2025-08-29,2025-08-29 00:00:00+02:00,2025-08-29 02:55:00+02:00,36,3.0
497,2025-08-29,2025-08-29 04:55:00+02:00,2025-08-29 23:55:00+02:00,229,19.083333333333332
498,2025-08-30,2025-08-30 00:00:00+02:00,2025-08-30 03:20:00+02:00,41,3.4166666666666665
499,2025-08-30,2025-08-30 04:55:00+02:00,2025-08-30 23:55:00+02:00,229,19.083333333333332
500,2025-08-31,2025-08-31 00:00:00+02:00,2025-08-31 03:20:00+02:00,41,3.4166666666666665
501,2025-08-31,2025-08-31 04:55:00+02:00,2025-08-31 23:55:00+02:00,229,19.083333333333332
502,2025-09-01,2025-09-01 00:00:00+02:00,2025-09-01 02:55:00+02:00,36,3.0
503,2025-09-01,2025-09-01 04:55:00+02:00,2025-09-01 23:25:00+02:00,223,18.583333333333332
504,2025-09-02,2025-09-02 04:50:00+02:00,2025-09-02 23:25:00+02:00,224,18.666666666666668
505,2025-09-03,2025-09-03 04:50:00+02:00,2025-09-03 23:55:00+02:00,230,19.166666666666668
506,2025-09-04,2025-09-04 00:00:00+02:00,2025-09-04 02:50:00+02:00,35,2.9166666666666665
507,2025-09-04,2025-09-04 04:50:00+02:00,2025-09-04 23:55:00+02:00,230,19.166666666666668
508,2025-09-05,2025-09-05 00:00:00+02:00,2025-09-05 02:50:00+02:00,35,2.9166666666666665
509,2025-09-05,2025-09-05 04:55:00+02:00,2025-09-05 23:55:00+02:00,229,19.083333333333332
510,2025-09-06,2025-09-06 00:00:00+02:00,2025-09-06 03:20:00+02:00,41,3.4166666666666665
511,2025-09-06,2025-09-06 04:55:00+02:00,2025-09-06 23:55:00+02:00,229,19.083333333333332
512,2025-09-07,2025-09-07 00:00:00+02:00,2025-09-07 03:20:00+02:00,41,3.4166666666666665
513,2025-09-07,2025-09-07 04:55:00+02:00,2025-09-07 23:55:00+02:00,229,19.083333333333332
514,2025-09-08,2025-09-08 00:00:00+02:00,2025-09-08 02:20:00+02:00,29,2.4166666666666665
515,2025-09-08,2025-09-08 04:50:00+02:00,2025-09-08 23:55:00+02:00,230,19.166666666666668
516,2025-09-09,2025-09-09 00:00:00+02:00,2025-09-09 02:50:00+02:00,35,2.9166666666666665
517,2025-09-09,2025-09-09 04:50:00+02:00,2025-09-09 23:25:00+02:00,224,18.666666666666668
518,2025-09-10,2025-09-10 04:50:00+02:00,2025-09-10 23:25:00+02:00,224,18.666666666666668
519,2025-09-11,2025-09-11 04:50:00+02:00,2025-09-11 23:25:00+02:00,224,18.666666666666668
520,2025-09-12,2025-09-12 04:50:00+02:00,2025-09-12 23:55:00+02:00,230,19.166666666666668
521,2025-09-13,2025-09-13 00:00:00+02:00,2025-09-13 03:15:00+02:00,40,3.3333333333333335
522,2025-09-13,2025-09-13 04:50:00+02:00,2025-09-13 23:55:00+02:00,230,19.166666666666668
523,2025-09-14,2025-09-14 00:00:00+02:00,2025-09-14 03:15:00+02:00,40,3.3333333333333335
524,2025-09-14,2025-09-14 04:50:00+02:00,2025-09-14 23:55:00+02:00,230,19.166666666666668
525,2025-09-15,2025-09-15 00:00:00+02:00,2025-09-15 02:50:00+02:00,35,2.9166666666666665
526,2025-09-15,2025-09-15 04:50:00+02:00,2025-09-15 23:25:00+02:00,224,18.666666666666668
527,2025-09-16,2025-09-16 04:50:00+02:00,2025-09-16 23:25:00+02:00,224,18.666666666666668
528,2025-09-17,2025-09-17 04:50:00+02:00,2025-09-17 23:25:00+02:00,224,18.666666666666668
529,2025-09-18,2025-09-18 04:50:00+02:00,2025-09-18 23:55:00+02:00,230,19.166666666666668
530,2025-09-19,2025-09-19 00:00:00+02:00,2025-09-19 02:50:00+02:00,35,2.9166666666666665
531,2025-09-19,2025-09-19 04:50:00+02:00,2025-09-19 23:55:00+02:00,230,19.166666666666668
532,2025-09-20,2025-09-20 00:00:00+02:00,2025-09-20 03:15:00+02:00,40,3.3333333333333335
533,2025-09-20,2025-09-20 04:50:00+02:00,2025-09-20 23:55:00+02:00,230,19.166666666666668
534,2025-09-21,2025-09-21 00:00:00+02:00,2025-09-21 03:15:00+02:00,40,3.3333333333333335
535,2025-09-21,2025-09-21 04:50:00+02:00,2025-09-21 23:55:00+02:00,230,19.166666666666668
536,2025-09-22,2025-09-22 00:00:00+02:00,2025-09-22 02:50:00+02:00,35,2.9166666666666665
537,2025-09-22,2025-09-22 04:50:00+02:00,2025-09-22 23:55:00+02:00,230,19.166666666666668
538,2025-09-23,2025-09-23 00:00:00+02:00,2025-09-23 02:50:00+02:00,35,2.9166666666666665
539,2025-09-23,2025-09-23 04:50:00+02:00,2025-09-23 23:55:00+02:00,230,19.166666666666668
540,2025-09-24,2025-09-24 00:00:00+02:00,2025-09-24 02:50:00+02:00,35,2.9166666666666665
541,2025-09-24,2025-09-24 04:50:00+02:00,2025-09-24 23:55:00+02:00,230,19.166666666666668
542,2025-09-25,2025-09-25 00:00:00+02:00,2025-09-25 02:50:00+02:00,35,2.9166666666666665
543,2025-09-25,2025-09-25 04:50:00+02:00,2025-09-25 23:55:00+02:00,230,19.166666666666668
544,2025-09-26,2025-09-26 00:00:00+02:00,2025-09-26 02:50:00+02:00,35,2.9166666666666665
545,2025-09-26,2025-09-26 04:50:00+02:00,2025-09-26 23:55:00+02:00,230,19.166666666666668
546,2025-09-27,2025-09-27 00:00:00+02:00,2025-09-27 03:15:00+02:00,40,3.3333333333333335
547,2025-09-27,2025-09-27 07:05:00+02:00,2025-09-27 23:55:00+02:00,203,16.916666666666668
548,2025-09-28,2025-09-28 00:00:00+02:00,2025-09-28 03:15:00+02:00,40,3.3333333333333335
549,2025-09-28,2025-09-28 04:50:00+02:00,2025-09-28 23:55:00+02:00,230,19.166666666666668
550,2025-09-29,2025-09-29 00:00:00+02:00,2025-09-29 02:50:00+02:00,35,2.9166666666666665
551,2025-09-29,2025-09-29 04:55:00+02:00,2025-09-29 23:55:00+02:00,229,19.083333333333332
552,2025-09-30,2025-09-30 00:00:00+02:00,2025-09-30 02:50:00+02:00,35,2.9166666666666665
553,2025-09-30,2025-09-30 04:55:00+02:00,2025-09-30 23:55:00+02:00,229,19.083333333333332
554,2025-10-01,2025-10-01 00:00:00+02:00,2025-10-01 02:50:00+02:00,35,2.9166666666666665
555,2025-10-01,2025-10-01 04:55:00+02:00,2025-10-01 23:55:00+02:00,229,19.083333333333332
556,2025-10-02,2025-10-02 00:00:00+02:00,2025-10-02 02:50:00+02:00,35,2.9166666666666665
557,2025-10-02,2025-10-02 04:55:00+02:00,2025-10-02 23:55:00+02:00,229,19.083333333333332
558,2025-10-03,2025-10-03 00:00:00+02:00,2025-10-03 03:20:00+02:00,41,3.4166666666666665
559,2025-10-03,2025-10-03 04:55:00+02:00,2025-10-03 23:55:00+02:00,229,19.083333333333332
560,2025-10-04,2025-10-04 00:00:00+02:00,2025-10-04 03:15:00+02:00,40,3.3333333333333335
561,2025-10-04,2025-10-04 04:50:00+02:00,2025-10-04 23:55:00+02:00,230,19.166666666666668
562,2025-10-05,2025-10-05 00:00:00+02:00,2025-10-05 03:15:00+02:00,40,3.3333333333333335
563,2025-10-05,2025-10-05 04:55:00+02:00,2025-10-05 23:55:00+02:00,229,19.083333333333332
564,2025-10-06,2025-10-06 00:00:00+02:00,2025-10-06 02:50:00+02:00,35,2.9166666666666665
565,2025-10-06,2025-10-06 04:55:00+02:00,2025-10-06 23:35:00+02:00,225,18.75
566,2025-10-07,2025-10-07 04:50:00+02:00,2025-10-07 23:35:00+02:00,226,18.833333333333332
567,2025-10-08,2025-10-08 04:50:00+02:00,2025-10-08 23:35:00+02:00,226,18.833333333333332
568,2025-10-09,2025-10-09 04:55:00+02:00,2025-10-09 23:40:00+02:00,226,18.833333333333332
569,2025-10-10,2025-10-10 05:00:00+02:00,2025-10-10 23:55:00+02:00,228,19.0
570,2025-10-11,2025-10-11 00:00:00+02:00,2025-10-11 03:20:00+02:00,41,3.4166666666666665
