code_a,code_b,lift,gemeinsame_fenster
40,54,1.3073684210526315,12
26,44,1.298705228333377,16
28,64,1.2950655862132718,81
10,47,1.2941767216552702,5
43,63,1.2907169422248408,55
47,67,1.2833919156414761,43
5,61,1.2796959813183655,108
45,49,1.2788344602811694,28
47,57,1.2786908463534123,51
28,36,1.2769269219763955,110
30,43,1.271160624918404,5
31,58,1.2693545386091778,28
35,41,1.2668787046407404,7
14,25,1.2579973681062329,14
5,33,1.2547083533660173,68
33,67,1.2546815341895174,33
10,32,1.2534239227605932,6
28,31,1.2500301756773067,52
19,43,1.2429126110313282,22
54,55,1.240461632227749,12
13,41,1.2339727642604612,25
43,50,1.2325173419208844,101
36,69,1.2310885196490378,11
25,28,1.229319616553659,16
37,43,1.2262961322742247,82
50,67,1.2227441860465116,3
40,55,1.2217407545760177,79
8,51,1.2216344873703096,25
10,25,1.2138239911349153,5
10,44,1.21139731382357,48
41,68,1.21082212478938,9
13,40,1.2097402597402598,9
14,31,1.2089058428251402,43
5,40,1.207053844345168,124
3,61,1.205735236985237,34
3,40,1.2055397727272728,41
34,62,1.2047430830039527,13
32,58,1.2038534851372933,10
17,41,1.2030790576444437,11
31,47,1.1966851900359923,112
21,36,1.1959800704214723,107
22,67,1.1959547985587946,5
23,69,1.1937607846698755,3
37,41,1.1923564278971672,8
14,38,1.1900125959723526,82
14,58,1.1879394032964425,3
5,50,1.1868064895367973,6
6,64,1.1758753005914824,40
2,21,1.1748505277005856,48
13,42,1.1744364498310271,17
10,23,1.1736975782048356,9
36,60,1.172624343003561,18
17,31,1.1704765120343126,9
33,51,1.1664603685825103,28
10,54,1.1627156125608136,1
33,61,1.1551345834927924,31
8,67,1.1547523666954815,25
42,61,1.1518019280058942,114
13,55,1.1478297570938587,9
17,48,1.1476943959554176,49
15,55,1.144115097685788,3
35,44,1.1440974630555942,16
43,53,1.1440445624265634,6
23,54,1.1434971726837755,14
17,33,1.1291313218082248,2
21,41,1.128998179807881,57
13,25,1.12554588268874,6
2,37,1.1244586545761734,6
7,62,1.1236175964610469,3
60,61,1.1178721775736702,3
22,55,1.1065150710012785,6
22,33,1.1052764347277695,3
17,67,1.099590095365568,3
14,36,1.0861009985310328,80
13,34,1.0795749704840616,52
54,64,1.075771179606918,34
10,42,1.0728416012297268,12
22,41,1.0706017222316113,15
33,41,1.0664471483841453,94
21,54,1.0629692027764672,3
37,48,1.0533161653156264,33
38,60,1.0445642053288444,15
8,32,1.036754692232017,23
28,34,1.028887070376432,121
6,28,1.0256853768922642,3
40,61,1.0222222222222224,52
17,36,1.004838765547416,16
14,34,1.004408965839759,101
7,47,0.9992100242694021,66
28,32,0.9917383431416928,15
38,68,0.9909494054093106,12
28,42,0.990333614610331,35
6,21,0.9875997483008743,3
21,57,0.9863938878023383,18
21,67,0.9785084715481046,15
34,50,0.9719496503496503,19
33,47,0.9654172022138864,21
31,67,0.963425165213428,110
6,55,0.9604226166392515,10
21,64,0.9544765003968888,62
6,34,0.9536888539333529,61
25,31,0.953531048631616,96
40,47,0.9458699472759228,39
7,55,0.936417952074933,97
15,34,0.9312241156901351,15
14,32,0.9278845835677177,12
23,60,0.9265009075049782,4
3,31,0.9244104271180084,72
10,36,0.9169681487072663,25
7,40,0.9157041042025068,90
10,31,0.9114635023684563,12
31,49,0.8890504654249696,12
